Date,Message,Likes,Impressions,Comments,Clicks,Source
2023-01-04,"fooBar is about educating the global drinks community. But, at fooBar, we're also acting as a catalyst to advance + support all of the communities we touch. Join us in this mission through the 2023 philanthropy and development grant program! The 2023 grant process is focused on bartender welfare & well-being. We're now accepting submissions for projects that improve the lives of bartenders and hospitality workers in the areas of: Equity, Advocacy, Healthcare, Mental health, Education, Workplace safety, And more! The grant portal will close on February 3, 2023. Submit your proposal here: https://bit.ly/3gCHC1o fooBar Cointreau | Edrington Americas | Bulleit",1,829,0,0,FB Organic
2023-01-05,We're selecting bartenders from around the globe to be a part of the new class of Cocktail Apprentices — Are you ready to be a 2023 CAP Red Coat Our Red Coats receive world-class education & mentorship by working alongside some of the best in the drinks industry during fooBar 2023! Be a part of the 15th anniversary CAP class and apply here: https://bit.ly/3G1c51I #CAPRedCoat2023 #CAP2023 #fooBar2023 fooBar fooBar,5,3711,0,36,FB Organic
2023-01-06,"Checking-in to fooBar 2023? Book your stay at The Ritz-Carlton, New Orleans! Event attendees are invited to secure their luxury hotel suites early, as the last day to book is Monday, June 26, 2023 (pending availability). Find yourself only floors above the July 23 - 28 global cocktail conference by booking your stay here: https://bit.ly/3LFYYVv fooBar fooBar #fooBar2023 fooBar #ritzcarltonneworleans",9,1400,0,11,FB Organic
2023-01-07,"Craving something refreshing? Something soothing? It sounds like we're on the same 'wavelength!' Enjoy the Mr. McIntosh from The Wild in Denver, CO Rye whiskey Pasubio amaro Spiced apple cider Lemon Cardamom fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar",2,2050,0,0,FB Organic
2023-01-08,"The holiday season may be over, but this festive, wintery cocktail is still guaranteed to make you melt! Try the White Chocolate Oolong from the Silverleaf cocktail bar in London! Nikka Days Whisky⁠ Salted egg yolk⁠ Oolong⁠ White chocolate⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar",10,2829,0,0,FB Organic
2023-01-09,"There are countless complex issues that our drinks community members face everyday. Below are several previous stories we highlighted in order to educate on adversities faced based on race, sexuality, and gender, and to celebrate the progress made for these diverse communities to achieve equity & equality over the last 20 years in our industry 1 For #BlackHistoryMonth, Chanta Hunter retold her story as a black female bartender and the moment she realized she wasn't A Bartender, but The Bartender. 2 For #WomensHistoryMonth, Allison Parc of Brenne Whisky retold her story as a woman whisky founder and reflects on the past, present and future of the industry by talking with other women on what 20 years of progress looks like to them. 3 For #AAPIHeritageMonth, Kevin Diedrich of Pacific Cocktail Haven and Kona Street Market Bar talked about his self-discovery as a Filipino bartender who identifies as that and so much more. 4 For #PrideMonth, Chelsea Gregoire reflected on what 20 years of progress within the spirits industry has looked like to them and how Pride Month is a great time to meditate on the idea of where we've been, and where we're going. Follow the link to our blog and explore each of their stories: https://bit.ly/3W2JAaU fooBar fooBar",1,651,0,0,FB Organic
2023-01-11,"Why celebrate #HotToddyDay with just 1 Hot Toddy, when you could celebrate with the Fistful of Toddies from Chris Hewes at Nella Kitchen & Bar? Enjoy the recipe below The Real McCoy 12-year Rum Tempus Fugit Crème de Cacao Lemon Juice Amaro Nonino Black Walnut Bitters Blackberry Elderflower Vegan Foam Dash of Seasonal Spices fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar",9,2355,0,1,FB Organic
2023-01-13,"At fooBar, we explore themes beyond traditional spirits education. We invite the entire drinks community to take an educational + supportive journey with us... Beyond the Bar! Beyond the Bar is the physical and creative space for fooBar’s global community to join together and address challenges and opportunities within the global drinks industry, including; mental and physical health, intersectionality, substance use, sexual harassment, diversity, equity, and sustainability. From dedicated education workshops to events and webinars to facilitate discourse, explore our recent Beyond the Bar programming here: https://bit.ly/3yFjguC fooBar #BeyondTheBar",2,2351,0,0,FB Organic
2023-01-15,We'd like to make this one our 'mane' squeeze! Try the Lion Heart from The Green Room! Mezcal Galliano Apéritif Papaya Juice Lemon fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar,13,2778,0,2,FB Organic
2023-01-17,"Diversity within our drinks community, whether it be unique traditions or customs, define the history and future of our industry. Below are several more stories we previously highlighted in order to educate on adversities faced because of race and culture, and to celebrate the progress made for these diverse communities to achieve equity & equality over the last 20 years in our industry For #LatinHeritageMonth, Anthony Mixology, Bar Manager at DOYA, reflected on interconnection of latin cultures, the nostalgia & tradition in his bar program, and what it means to him to be Latin American. For #NativeAmericanHeritageMonth, Chockie Tom, Co-founder of Doommersive and⁠ Indigenous Hospitality Activist, touched on the Indigenous contributions to the drink space and highlighted Indigenous people changing the landscape of our industry today.⁠ For #Juneteenth, Tiffanie Barriere recounts the history of the holiday, her childhood experiences on it, and speaks to the Red Drink being a solid symbol of liberation, happiness and recognition of her ancestors. Explore each of their stories here: https://bit.ly/3W2JAaU fooBar fooBar",2,1298,0,0,FB Organic
2023-01-18,A delicious cocktail + An excellent literary reference = 'Grapeness' achieved! Check out the Grapes of Wrath recipe from Jesse Cyr (@cocktailsbyjesse)! Hennessy VS Orgeat Lemon Giffard Apricot Angostura fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar,10,3308,0,1,FB Organic
2023-01-25,"Happy #IrishCoffeeDay! We're celebrating with the the Lords of the Beans themselves, Bushmills Irish Whiskey & Dead Rabbit NYC! Check out the photo + recipe from their fooBar event — ""The Dead Rabbit Comes to Nola!"" ⁠ Bushmills Original Demerara Aromatic Coffee Freshly Whipped Cream : Bryan Tarnowski fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9 fooBar",11,3045,0,2,FB Organic
2023-01-26,"We'd travel all the way to the savanna for this recipe — After all, it's 'wine' in a million! Enjoy the Zebra Wine from Lauren Mote (@laurenmote)! Cascara Tea Rhythmic Red NA Vermouth Strawberry Shrub Bittered Sling Arabica Coffee Bitters : Jonathan C. fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: fooBar",6,2339,0,0,FB Organic
