Date,Message,Image Link,Likes,Comments,Shares,Link Clicks,Engagements,Reach,Organic Reach,Impressions
2023-01-04,"#totc2023 is about educating the global drinks community. But, at TOTCF, we're also acting as a catalyst to advance + support all of the communities we touch. Join us in this mission through the 2023 philanthropy and development grant program!✨

The 2023 grant process is focused on bartender welfare & well-being. We're now accepting submissions for projects that improve the lives of bartenders and hospitality workers in the areas of:

👉 Equity,
👉 Advocacy,
👉 Healthcare,
👉 Mental health,
👉 Education,
👉 Workplace safety,
👉 And more!

 The grant portal will close on February 3, 2023. Submit your proposal here: https://bit.ly/3gCHC1o

#totcf

Cointreau | Edrington Americas | Bulleit",https://scontent-fra3-2.xx.fbcdn.net/v/t39.30808-6/323408090_1302579247202850_8863857074014036096_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=p9RQQMnsiqQQ7kNvgFTtEA_&_nc_ht=scontent-fra3-2.xx&edm=AKIiGfEEAAAA&oh=00_AYAx0p0dvmxG6_mqEkS7Y6kbV5p144tZtrN9rvAd8JVmzw&oe=66F64FAA,1,0,0,0,1,632,829,829
2023-01-05,"We're selecting bartenders from around the globe to be a part of the new class of Cocktail Apprentices — Are you ready to be a 2023 CAP Red Coat❓🎓

Our Red Coats receive world-class education & mentorship by working alongside some of the best in the drinks industry during Tales of the Cocktail 2023! Be a part of the 15th anniversary CAP class and apply here: https://bit.ly/3G1c51I

#CAPRedCoat2023  #CAP2023 #TalesoftheCocktail2023 #totc2023 #totcf",https://scontent-fra5-1.xx.fbcdn.net/v/t39.30808-6/324270444_1103203197015230_7828784959628572024_n.jpg?stp=dst-jpg_p720x720&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=wRzcDbxm8rQQ7kNvgFF_rX1&_nc_ht=scontent-fra5-1.xx&edm=AKIiGfEEAAAA&oh=00_AYDSDNJM-LwTGy__mZt-8DQmOQz9ohZLyceitRfp9IQnXA&oe=66F65426,5,0,4,36,5,1995,3450,3711
2023-01-06,"Checking-in to Tales of the Cocktail 2023?🧳 Book your stay at The Ritz-Carlton, New Orleans!✨

Event attendees are invited to secure their luxury hotel suites early, as the last day to book is Monday, June 26, 2023 (pending availability).  Find yourself only floors above the July 23 - 28 global cocktail conference by booking your stay here: https://bit.ly/3LFYYVv

#totc2023 #totc #TalesoftheCocktail2023 #totcf #ritzcarltonneworleans",https://scontent-fra3-1.xx.fbcdn.net/v/t15.5256-10/319681774_834554887646831_616396028031839126_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=7965db&_nc_ohc=DreIq0PBMe0Q7kNvgFNf5m5&_nc_ht=scontent-fra3-1.xx&edm=AKIiGfEEAAAA&oh=00_AYDFDrr3yN_0SQKJdn5eCAS31wJqwlkUxXDVqjC3Lt0EOA&oe=66F658EE,9,0,2,11,9,770,1314,1400
2023-01-07,"Craving something refreshing? Something soothing? It sounds like we're on the same 'wavelength!'😉 Enjoy the 🔉Mr. McIntosh🔉 from The Wild in Denver, CO ⬇️

🔉 Rye whiskey
🔉 Pasubio amaro
🔉 Spiced apple cider
🔉 Lemon
🔉 Cardamom

TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9

#totcf",https://scontent-fra5-1.xx.fbcdn.net/v/t39.30808-6/322134967_495629076057056_5118549348308531443_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=_wmCemLp2ngQ7kNvgFz4xsX&_nc_ht=scontent-fra5-1.xx&edm=AKIiGfEEAAAA&oh=00_AYAzHmCHPDuWjY27Mam3HbMB2XZez1xPRDJbkw13sVapcA&oe=66F66048,2,0,0,0,2,1721,2014,2050
2023-01-08,"The holiday season may be over, but this festive, wintery cocktail is still guaranteed to make you melt!😍 Try the 🍫White Chocolate Oolong 🍫 from the Silverleaf cocktail bar in London! ⬇️

🍫 Nikka Days Whisky⁠
🍫 Salted egg yolk⁠
🍫 Oolong⁠
🍫 White chocolate⁠

TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9

#totcf",https://scontent-fra5-1.xx.fbcdn.net/v/t39.30808-6/323906504_3441683312755173_1583121978027235330_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=1M1MRH7rlX8Q7kNvgGPro6_&_nc_ht=scontent-fra5-1.xx&edm=AKIiGfEEAAAA&oh=00_AYDIbFQrncQtDG_DzLQ-H3ia0VdwRWXHkT68mniLKffpwA&oe=66F65967,10,0,0,0,10,2464,2788,2829
2023-01-09,"There are countless complex issues that our drinks community members face everyday. Below are several previous stories we highlighted in order to educate on adversities faced based on race, sexuality, and gender, and to celebrate the progress made for these diverse communities to achieve equity & equality over the last 20 years in our industry ⬇️

1️⃣ For #BlackHistoryMonth, Chanta Hunter retold her story as a black female bartender and the moment she realized she wasn't A Bartender, but The Bartender.
2️⃣ For #WomensHistoryMonth, Allison Parc of Brenne Whisky retold her story as a woman whisky founder and reflects on the past, present and future of the industry by talking with other women on what 20 years of progress looks like to them.
3️⃣ For #AAPIHeritageMonth, Kevin Diedrich of Pacific Cocktail Haven and Kona Street Market Bar talked about his self-discovery as a Filipino bartender who identifies as that and so much more.
4️⃣ For #PrideMonth, Chelsea Gregoire reflected on what 20 years of progress within the spirits industry has looked like to them and how Pride Month is a great time to meditate on the idea of where we've been, and where we're going.

Follow the link to our blog and explore each of their stories: https://bit.ly/3W2JAaU

#totcf #totc2022heritagemonthseries",https://scontent-fra5-2.xx.fbcdn.net/v/t39.30808-6/324754727_1929909497353529_8738810528134450982_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_ohc=z7sbzUvE_XoQ7kNvgFf2nCZ&_nc_ht=scontent-fra5-2.xx&edm=AKIiGfEEAAAA&oh=00_AYBvLhDbgROoaPlsFgjkSS-KpMWXzpO690iVaddesDw6yA&oe=66F6700F,1,0,0,0,1,393,631,651
2023-01-11,"Why celebrate #HotToddyDay with just 1️⃣ Hot Toddy, when you could celebrate with the 🤜Fistful of Toddies🤛 from Chris Hewes at Nella Kitchen & Bar? Enjoy the recipe below ⬇️

🤜 The Real McCoy 12-year Rum
🤜 Tempus Fugit Crème de Cacao
🤜 Lemon Juice
🤜 Amaro Nonino
🤜 Black Walnut Bitters
🤜 Blackberry Elderflower Vegan Foam
🤜 Dash of Seasonal Spices

TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9

#totcf",https://scontent-fra5-1.xx.fbcdn.net/v/t39.30808-6/324929812_411885444458633_156011826919876930_n.jpg?stp=dst-jpg_s720x720&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=s2CEO7BCUNUQ7kNvgF38D4T&_nc_ht=scontent-fra5-1.xx&edm=AKIiGfEEAAAA&oh=00_AYCbEhUYRvzCy4lE3cvASjGkc3mfKfBQLVnQyJin4NAlTA&oe=66F66516,9,0,0,1,9,2001,2325,2355
2023-01-13,"At Tales of the Cocktail, we explore themes beyond traditional spirits education. We invite the entire drinks community to take an educational + supportive journey with us... Beyond the Bar!✨

Beyond the Bar is the physical and creative space for TOTCF’s global community to join together and address challenges and opportunities within the global drinks industry, including; mental and physical health, intersectionality, substance use, sexual harassment, diversity, equity, and sustainability.

From dedicated education workshops to events and webinars to facilitate discourse, explore our recent Beyond the Bar programming here: https://bit.ly/3yFjguC

#totcf #BeyondTheBar",https://scontent-fra5-1.xx.fbcdn.net/v/t39.30808-6/325498035_1207952013428864_6823169430692027883_n.jpg?stp=dst-jpg_s1080x2048&_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=sYWyqoenv78Q7kNvgHx0Eaf&_nc_ht=scontent-fra5-1.xx&edm=AKIiGfEEAAAA&oh=00_AYBTtYsF86kDENR0enriSadFV6Th1s4eAFhddZ8Ylzlz8g&oe=66F66E19,2,0,1,0,4,1578,1917,2351
2023-01-15,"We'd like to make this one our 'mane' squeeze! Try the 🦁Lion Heart🦁 from The Green Room! ⬇️

🦁 Mezcal
🦁 Galliano Apéritif
🦁 Papaya Juice
🦁 Lemon

TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels here: https://forms.gle/PjDunJWdgnEt7QnS9

#totcf",https://scontent-fra5-1.xx.fbcdn.net/v/t39.30808-6/325281835_1262116161315929_7513090351795972616_n.jpg?stp=dst-jpg_s720x720&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=JKIvfm7NZyUQ7kNvgENPjJ3&_nc_ht=scontent-fra5-1.xx&edm=AKIiGfEEAAAA&oh=00_AYDpDE7BKSaWZGf_2t86L7R91MlQu4C_qpBrB1j1ljZYTA&oe=66F657F6,13,0,1,2,13,2285,2704,2778
2023-01-17,"Diversity within our drinks community, whether it be unique traditions or customs, define the history and future of our industry. Below are several more stories we previously highlighted in order to educate on adversities faced because of race and culture, and to celebrate the progress made for these diverse communities to achieve equity & equality over the last 20 years in our industry ⬇️

➡️ For #LatinHeritageMonth, Anthony Mixology, Bar Manager at DOYA, reflected on interconnection of latin cultures, the nostalgia & tradition in his bar program, and what it means to him to be Latin American.
➡️ For #NativeAmericanHeritageMonth, Chockie Tom, Co-founder of Doommersive and⁠ Indigenous Hospitality Activist, touched on the Indigenous contributions to the drink space and highlighted Indigenous people changing the landscape of our industry today.⁠
➡️ For #Juneteenth, Tiffanie Barriere recounts the history of the holiday, her childhood experiences on it, and speaks to the Red Drink being a solid symbol of liberation, happiness and recognition of her ancestors.

Explore each of their stories here: https://bit.ly/3W2JAaU

#totcf #totc2022heritagemonthseries",https://scontent-fra3-1.xx.fbcdn.net/v/t39.30808-6/325952848_449009343981327_4251049182759248875_n.jpg?stp=dst-jpg_p720x720&_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=OEsbquj-EIcQ7kNvgHx6G62&_nc_ht=scontent-fra3-1.xx&edm=AKIiGfEEAAAA&oh=00_AYD5ll7rwBKegnxzezGLRX6k0cuGj_n60z3U1fp_7bnj-A&oe=66F6829E,2,0,0,0,4,873,1193,1298
