Date,Message,Likes,Impressions,Comments,Clicks,Source
2023-01-03,"Mark your calendars. fooBar 2023 has its official date + theme!⁠ ⁠ Join us July 23 - 28 in New Orleans, where our 2023 theme, ""Vitalize,"" will encapsulate the hospitality community’s vibrancy and adaptability. Together, we'll explore what vitalization means in our work, in our experiences and in our drinks community as a whole through innovative, inclusive and stimulating⁠ educational programming!⁠ ⁠ We're on a mission to educate the bartender as a whole through Business, Culture, and Beyond the Bar content, all relevant & applicable to our global community. Learn more about this year's conference at the link in bio!⁠ ⁠ fooBar fooBar #fooBar2023 fooBar",339,17215.0,74,0.0,Insta Organic
2023-01-03,"Mark your calendars. fooBar 2023 has its official date + theme!⁠ ⁠ Join us July 23 - 28 in New Orleans, where our 2023 theme, ""Vitalize,"" will encapsulate the hospitality community’s vibrancy and adaptability. Together, we'll explore what vitalization means in our work, in our experiences and in our drinks community as a whole through innovative, inclusive and stimulating⁠ educational programming!⁠ ⁠ We're on a mission to educate the bartender as a whole through Business, Culture, and Beyond the Bar content, all relevant & applicable to our global community. Learn more about this year's conference at the link in bio!⁠ ⁠ fooBar fooBar #fooBar2023 fooBar",137,11187.0,0,0.0,Insta Organic
2023-01-04,"fooBar is about educating the global drinks community. But at fooBar, we're also acting as a catalyst to advance + support all of the communities we touch. Join us in this mission through the 2023 philanthropy and development grant program!⁠ ⁠ The 2023 grant process is focused on bartender welfare & well-being. We're now accepting submissions for projects that improve the lives of bartenders and hospitality workers in the areas of equity, advocacy, healthcare, mental health, education, workplace safety, and more!⁠ ⁠ The grant portal will close on February 3, 2023. Submit your proposal at the link in bio (if Instagram smiles upon you) or visit fooBar.org!⁠ ⁠ fooBar⁠ ⁠ @Cointreau_US | @EdringtonAmericas | @bulleit",98,8098.0,1,0.0,Insta Organic
2023-01-05,We're selecting bartenders from around the globe to be a part of the new class of Cocktail Apprentices — Are you ready to be a 2023 CAP Red Coat⁠ ⁠ Our Red Coats receive world-class education & mentorship by working alongside some of the best in the drinks industry during fooBar 2023. Be a part of the 15th anniversary CAP class and apply at the link in bio (if Instagram smiles upon you) or visit fooBar.org!!⁠ ⁠ #CAPRedCoat2023 #CAP2023 #fooBar2023 fooBar fooBar⁠ ⁠ @cocktailapprentice | @tkallies | @crisdehlavi | @slayy_her | @girlnamedju | @alexbsmith1 | @courvoisierusa | @campariusa | @crownroyal | @josecuervotequila | @sazerachouse,918,50736.0,28,0.0,Insta Organic
2023-01-06,"Checking in to fooBar 2023? Book your stay at The Ritz-Carlton, New Orleans!⁠ ⁠ Event attendees are invited to secure their luxury hotel suites early, as the last day to book is Monday, June 26, 2023 (pending availability). Find yourself only floors above the July 23 - 28 global cocktail conference by booking your stay at the link in bio (if Instagram smiles upon you) or visit fooBar.org!!⁠ ⁠ fooBar fooBar #fooBar2023 fooBar #ritzcarltonneworleans⁠ ⁠ @ritzcarltonneworleans",2252,58273.0,24,0.0,Insta Organic
2023-01-07,".We love to see our Rum Shakers making waves in San Diego!⁠ ⁠ The Rum Shaker dance competition, presented by Bacardi (@lagranfamilia1862) and fooBar, brought bartenders beach-side for this exciting event — Roll the sizzle reel! ⁠ ⁠ #RumShakersChallenge2023 @Bacardi",346,14517.0,5,0.0,Insta Organic
2023-01-08,"The holiday season may be over, but this festive, wintery cocktail is still guaranteed to make you melt! Try the White Chocolate Oolong from @silverleaf_bar in London! ⁠ ⁠ Nikka Days Whisky⁠ Salted egg yolk⁠ Oolong⁠ White chocolate⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!⁠ ⁠ fooBar",331,10067.0,1,0.0,Insta Organic
2023-01-09,"There are countless complex issues that our drinks community members face everyday. Below are several previous stories we highlighted in order to educate on adversities faced based on race, sexuality, and gender, and to celebrate the progress made for these diverse communities to achieve equity & equality over the last 20 years in our industry ⁠ ⁠ 1 For #BlackHistoryMonth, Chanta Hunter (@the.cocktail.nymph) retold her story as a black female bartender and the moment she realized she wasn't A Bartender, but The Bartender.⁠ 2 For #WomensHistoryMonth, Allison Parc (@allisonparc) of @brennewhisky retold her story as a woman whisky founder and reflects on the past, present and future of the industry by talking with other women on what 20 years of progress looks like to them.⁠ 3 For #AAPIHeritageMonth, @therealdiedrich of Pacific Cocktail Haven (@pch_sf) and Kona Street Market Bar (@konasstreetmarketbar) talked about his self-discovery as a Filipino bartender who identifies as that and so much more.⁠ 4 For #PrideMonth, @gregoiredrinks reflected on what 20 years of progress within the spirits industry has looked like to them and how Pride Month is a great time to meditate on the idea of where we've been, and where we're going.⁠ ⁠ Follow the link in bio to our blog and explore each of their stories.⁠ ⁠ fooBar fooBar",112,7691.0,5,0.0,Insta Organic
2023-01-11,"Why celebrate #HotToddyDay with just 1 Hot Toddy, when you could celebrate with the Fistful of Toddies from @glockson9 at @nellakitchenbar? Enjoy the recipe below ⁠ ⁠ The Real McCoy 12-year Rum⁠ Tempus Fugit Crème de Cacao⁠ Lemon Juice⁠ Amaro Nonino⁠ Black Walnut Bitters⁠ Blackberry Elderflower Vegan Foam⁠ Dash of Seasonal Spices⁠ ⁠ : @bri_bri_b⁠ ⁠ fooBar aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!⁠ ⁠ fooBar",325,8210.0,2,0.0,Insta Organic
2023-01-12,".Are you just as blown away by the Chicago Rum Shakers as we are? The Rum Shaker dance competition, presented by Bacardi (@lagranfamilia1862) and fooBar, came to Chicago! These bartenders and their dance skills stole a pizza our heart — Roll the sizzle reel! #RumShakersChallenge2023 @bacardi",109,0.0,0,0.0,Insta Organic
