Date,Message,Image Link,Likes,Comments,Shares,Link Clicks,Engagement,Reach,Organic Reach,Impressions
2023-01-03,"Mark your calendars.🗓 Tales of the Cocktail 2023 has its official date + theme!🥂⁠
⁠
Join us July 23 - 28 in New Orleans, where our 2023 theme, ""Vitalize,"" will encapsulate the hospitality community’s vibrancy and adaptability. Together, we'll explore what vitalization means in our work, in our experiences and in our drinks community as a whole through innovative, inclusive and stimulating⁠
educational programming!⁠
⁠
We're on a mission to educate the bartender as a whole through Business, Culture, and Beyond the Bar content, all relevant & applicable to our global community. Learn more about this year's conference at the link in bio!🔗⁠
⁠
#totc2023 #totc #TalesoftheCocktail2023 #totcf",https://scontent-fra5-1.cdninstagram.com/v/t51.2885-15/323806601_691526549092491_4555812105369057304_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=rWBhuiAr678Q7kNvgEBi6U_&_nc_ht=scontent-fra5-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYAElDiDop_f7EXMmzIL5b49jejXjdmqIj5ld7dll22sAQ&oe=66F920E4,339,74,,,543,15260,,17215
2023-01-03,"Mark your calendars.🗓 Tales of the Cocktail 2023 has its official date + theme!🥂⁠
⁠
Join us July 23 - 28 in New Orleans, where our 2023 theme, ""Vitalize,"" will encapsulate the hospitality community’s vibrancy and adaptability. Together, we'll explore what vitalization means in our work, in our experiences and in our drinks community as a whole through innovative, inclusive and stimulating⁠
educational programming!⁠
⁠
We're on a mission to educate the bartender as a whole through Business, Culture, and Beyond the Bar content, all relevant & applicable to our global community. Learn more about this year's conference at the link in bio!🔗⁠
⁠
#totc2023 #totc #TalesoftheCocktail2023 #totcf",https://scontent-fra5-1.cdninstagram.com/v/t51.2885-15/323842538_546936123990957_3973326797155927749_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=_Iez8sPBKXcQ7kNvgHaMm8y&_nc_ht=scontent-fra5-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYDc9q_QDtHoB4uJwBvi3t-WdrfYAqTYjyqbDcquYtxmPg&oe=66F9114A,137,0,,,139,9864,,11187
2023-01-04,"#totc2023 is about educating the global drinks community. But at TOTCF, we're also acting as a catalyst to advance + support all of the communities we touch. Join us in this mission through the 2023 philanthropy and development grant program!✨⁠
⁠
The 2023 grant process is focused on bartender welfare & well-being. We're now accepting submissions for projects that improve the lives of bartenders and hospitality workers in the areas of equity, advocacy, healthcare, mental health, education, workplace safety, and more!⁠
⁠
 The grant portal will close on February 3, 2023. Submit your proposal at the link in bio (if Instagram smiles upon you) or visit talesofthecocktail.org!🔗⁠
⁠
#totcf⁠
⁠
@Cointreau_US | @EdringtonAmericas | @bulleit",https://scontent-fra5-2.cdninstagram.com/v/t51.2885-15/323806617_678747430656104_8672321206267890209_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=gSNOUQgey60Q7kNvgHmJhsf&_nc_ht=scontent-fra5-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYBwFatuMm2xTdMwCfooCEk9vhe2142NXCQs5-pRrXStyg&oe=66F90F81,98,1,,,116,7593,,8098
2023-01-05,"We're selecting bartenders from around the globe to be a part of the new class of Cocktail Apprentices — Are you ready to be a 2023 CAP Red Coat❓🎓⁠
⁠
Our Red Coats receive world-class education & mentorship by working alongside some of the best in the drinks industry during Tales of the Cocktail 2023. Be a part of the 15th anniversary CAP class and apply at the link in bio (if Instagram smiles upon you) or visit talesofthecocktail.org!!🔗⁠
⁠
#CAPRedCoat2023  #CAP2023 #TalesoftheCocktail2023 #totc2023 #totcf⁠
⁠
@cocktailapprentice | @tkallies | @crisdehlavi | @slayy_her | @girlnamedju | @alexbsmith1 | @courvoisierusa | @campariusa | @crownroyal | @josecuervotequila | @sazerachouse",https://scontent-fra3-1.cdninstagram.com/v/t51.2885-15/324387170_833623567928548_3440477678714610896_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=fIE4PXlDhgcQ7kNvgFeGppl&_nc_ht=scontent-fra3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYBbxgUK_UvszXwvH7PbvC2NEIPsqBI5EbIaCogxI1uI4w&oe=66F939AB,918,28,,,1321,46530,,50736
2023-01-06,"Checking in to Tales of the Cocktail 2023?🧳 Book your stay at The Ritz-Carlton, New Orleans!✨⁠
⁠
Event attendees are invited to secure their luxury hotel suites early, as the last day to book is Monday, June 26, 2023 (pending availability). Find yourself only floors above the July 23 - 28 global cocktail conference by booking your stay at the link in bio (if Instagram smiles upon you) or visit talesofthecocktail.org!!🔗⁠
⁠
#totc2023 #totc #TalesoftheCocktail2023 #totcf #ritzcarltonneworleans⁠
⁠
@ritzcarltonneworleans",https://scontent-fra5-1.cdninstagram.com/o1/v/t16/f2/m69/AQOtsa5oED0F1HoroL-d8IYDOMi0VAJ4dpmszgV9TLhjhjokKn9H0VwSMT7s4B7zamkIHMyg-NVIRY26a8Lfqp4v?_nc_ht=scontent-fra5-1.cdninstagram.com&vs=871665634080691_3914872561&_nc_vs=HBkcFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQzV4X3hKQmgyMWFRSVVBQUtGcGgzcG9sUUo3YmtZTEFBQUYVAALIAQAoABgAGwGIB3VzZV9vaWwBMRUAACas9d6xtsTkPxUCKAJDMywXQCAAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=9-4&oh=00_AYBAax05yCzbGDRyaOtLGCZXtRbm9qj0WJO4lDfir1Pinw&oe=66F518EF&_nc_sid=1d576d,2252,24,,,2994,53261,,58273
2023-01-07,"💃.We love to see our Rum Shakers making waves in San Diego!🕺⁠
⁠
The Rum Shaker dance competition, presented by Bacardi (@lagranfamilia1862) and TOTCF, brought bartenders beach-side for this exciting event — Roll the sizzle reel! 🎥⁠
⁠
#RumShakersChallenge2023 @Bacardi",,346,5,,,378,13542,,14517
2023-01-08,"The holiday season may be over, but this festive, wintery cocktail is still guaranteed to make you melt!😍 Try the 🍫White Chocolate Oolong 🍫 from @silverleaf_bar in London! ⬇️⁠
⁠
🍫 Nikka Days Whisky⁠
🍫 Salted egg yolk⁠
🍫 Oolong⁠
🍫 White chocolate⁠
⁠
TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!🔗⁠
⁠
#totcf",https://scontent-fra5-1.cdninstagram.com/v/t51.2885-15/324392005_187732240577056_8489710488660884356_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=ltkfbWR3rOIQ7kNvgFAkkyH&_nc_ht=scontent-fra5-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYCIySPHEpUgH6-ioOvWHHLNAf6g8QVvbuwaa5EG9CcNZg&oe=66F92FFD,331,1,,,384,9613,,10067
2023-01-09,"There are countless complex issues that our drinks community members face everyday. Below are several previous stories we highlighted in order to educate on adversities faced based on race, sexuality, and gender, and to celebrate the progress made for these diverse communities to achieve equity & equality over the last 20 years in our industry ⬇️⁠
⁠
1️⃣ For #BlackHistoryMonth, Chanta Hunter (@the.cocktail.nymph) retold her story as a black female bartender and the moment she realized she wasn't A Bartender, but The Bartender.⁠
2️⃣ For #WomensHistoryMonth, Allison Parc (@allisonparc) of @brennewhisky retold her story as a woman whisky founder and reflects on the past, present and future of the industry by talking with other women on what 20 years of progress looks like to them.⁠
3️⃣ For #AAPIHeritageMonth, @therealdiedrich of Pacific Cocktail Haven (@pch_sf) and Kona Street Market Bar (@konasstreetmarketbar) talked about his self-discovery as a Filipino bartender who identifies as that and so much more.⁠
4️⃣ For #PrideMonth, @gregoiredrinks reflected on what 20 years of progress within the spirits industry has looked like to them and how Pride Month is a great time to meditate on the idea of where we've been, and where we're going.⁠
⁠
Follow the link in bio to our blog and explore each of their stories.🔗⁠
⁠
#totcf #totc2022heritagemonthseries",https://scontent-fra3-1.cdninstagram.com/v/t51.2885-15/324233681_165044379606377_718235522403953301_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=LAIHqZjYXZcQ7kNvgHrJ7hc&_nc_ht=scontent-fra3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYDktaVj0nBgqP-DKcAs6unbgnKnpnHCAAqXoynT_CjODw&oe=66F9286E,112,5,,,152,6160,,7691
2023-01-11,"Why celebrate #HotToddyDay with just 1️⃣ Hot Toddy, when you could celebrate with the 🤜Fistful of Toddies🤛 from @glockson9 at @nellakitchenbar? Enjoy the recipe below ⬇️⁠
⁠
🤜 The Real McCoy 12-year Rum⁠
🤜 Tempus Fugit Crème de Cacao⁠
🤜 Lemon Juice⁠
🤜 Amaro Nonino⁠
🤜 Black Walnut Bitters⁠
🤜 Blackberry Elderflower Vegan Foam⁠
🤜 Dash of Seasonal Spices⁠
⁠
📸: @bri_bri_b⁠
⁠
TOTCF aims to support the worldwide cocktail community by sharing bartenders' creative concoctions & innovative recipes. Submit yours for an opportunity to be featured on our channels at the link in bio!🔗⁠
⁠
#totcf",https://scontent-fra3-1.cdninstagram.com/v/t51.2885-15/324896812_691534272427139_5767137344563618080_n.jpg?ccb=1-7&_nc_sid=18de74&_nc_ohc=loYGt2sTywwQ7kNvgFkR3WU&_nc_ht=scontent-fra3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYChrwNd3YBOt1Qi0_V2Y_I-G1udKgBndnFqyWxkvZiJyg&oe=66F91F20,325,2,,,366,7646,,8210
2023-01-12,"💃.Are you just as blown away by the Chicago Rum Shakers as we are?🕺

The Rum Shaker dance competition, presented by Bacardi (@lagranfamilia1862) and TOTCF, came to Chicago! These bartenders and their dance skills stole a pizza our heart — Roll the sizzle reel! 🎥

#RumShakersChallenge2023 @bacardi",https://scontent-fra5-1.cdninstagram.com/o1/v/t16/f1/m82/64413F8DA5925C723E2A3ED0A8380992_video_dashinit.mp4?_nc_ht=scontent-fra5-1.cdninstagram.com&vs=548050137377550_1975223319&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC82NDQxM0Y4REE1OTI1QzcyM0UyQTNFRDBBODM4MDk5Ml92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dKYVFYUlBpQS1vV09jSUFBUEM2RGl2TXVmOXdicV9FQUFBRhUCAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJsL3xdDU9fc%2FFQIoAkMzLBdAVzCj1wo9cRgSZGFzaF9iYXNlbGluZV8xX3YxEQB1AAA%3D&ccb=9-4&oh=00_AYD3YZEQ2KcjAUQdOkHbh8DoF6sm265lWntkXzwVr-2Oag&oe=66F54A69&_nc_sid=1d576d,109,0,,,115,7230,,
