Created date,Message,Image Link,Likes,Comments,Link clicks,Engagements,Reach,Organic Reach,Impressions
2024-08-13,"💅 We’re in our fundraising era 💅 ⁠
⁠
Support #totcf and @CHNOLA by purchasing raffle tickets to win 2 Taylor Swift Era’s Tour tickets on 10/26/24! We'll be drawing the winning names on 9/13 &amp; 9/20!⁠
⁠
Learn more &amp; purchase your raffle tickets here: https://t.co/xinv4OaTym https://t.co/p8HbSvbnnX",,2,0,0,11,,,1733
2024-08-05,"How was your time at #totc2024? We'd love to hear about it!
⁠
By taking our 2024 Attendee Survey, all event attendees will help us improve for next year &amp; have a chance to win 2 Seminar &amp; Tasting Week Passes to #totc2025! 🎉⁠
⁠
Fill out our survey here: https://t.co/qEsxnVNcqx https://t.co/FZ2lOZHlsN",,4,0,0,12,,,1495
2024-07-21,"🥂💃 The biggest party of the year is here! 🕺🥂 
⁠
Get ready for a week of celebration, learning, and inspiration among your fellow enthusiasts &amp; drinks industry pros! We cannot wait to see you all at #TalesoftheCocktail2024 🎉⁠
⁠
#totc2024 #totc #totcf https://t.co/Yq6vMrjtsy",,4,2,0,47,,,723
2024-09-18,"We're celebrating National Hispanic &amp; Latinx Heritage Month with Jesus Verde! ✨ In his feature editorial, Jesus explores the bright future he sees for Latinx drinks industry pros. 
⁠
Check out Jesus' editorial &amp; learn about his signature cocktail here: https://t.co/7ET0BP9rgt https://t.co/yh6VaixojB",,2,0,0,6,,,692
2024-07-20,"Make the most of your time at #totc2024 with Grab &amp; Geaux, Fountain Bar, and No and Low — the ultimate pitstop for on-the-go tastings! 🍹

These centrally located bars let attendees sample products or cocktails without missing a beat. Just grab, sip, and go! 🍸 https://t.co/goV1sNLuVA",,3,0,0,13,,,586
2024-07-13,"Wanting to learn more about our 2024 #SpiritedAwards Top 4 Finalists?🏆 Now you can with the official 2024 Spirited Awards Digital Playbill! Check it out: https://t.co/ciOK3MEWLs
⁠
Special thanks to @forbes - the official media partner for the 18th Annual Spirited Awards⁠! 🎉⁠ https://t.co/zcpl4CSl4X",,6,0,0,22,,,542
2024-07-14,"We aren't the type to gatekeep a good party - which is why we've made it easier than ever to fill up your #TalesoftheCocktail2024 itineraries! 🥳 
⁠
All attendees are invited to experience the magic ✨  

Download our app to RSVP for Small Day Events: https://t.co/zFvpDoMXv6 https://t.co/Z6HQv6GtLe",,1,0,0,26,,,532
2024-06-30,"Elevate your #totc2024 experience with captivating Seminars at the renowned Ritz-Carlton, New Orleans! 
⁠⁠
Attendees gain valuable insights into issues, trends, &amp; innovations within our industry! Join us as we aim to redefine the boundaries of spirits education 🥃 https://t.co/ovZpvBiRcF",,2,0,0,6,,,512
2024-07-15,"It's a day-to-night celebration at #totc2024! 🥂 
⁠⁠
Start your evenings with Happy Hours between 4pm - 6:30pm or join us for some late-night hangs at Last Call from 12am - 2am! 

Download our Whova App to add these events to your agenda today: https://t.co/MozVRUVyFl https://t.co/o6OKztBd6X",,3,0,0,26,,,507
2024-07-19,"📣 Calling all flavor enthusiasts! 📣

Grab your #totc krewe and prepare for a spirited adventure at Tales of the Cocktail®! Attendees can immerse themselves in various premium spirits &amp; discover new flavors between seminars at any of our Tasting Rooms!

🥂 Cheers to #totc2024 🥂 https://t.co/bsLrjU1b6O",,4,0,0,11,,,483
2024-06-29,"Celebrate the spirit of innovation at Meet the Distillers, where attendees and partners come together to explore the artistry behind spirits! 🥃
⁠
Don't miss this opportunity to indulge your senses and connect with fellow spirits enthusiasts! 🥂

#TalesoftheCocktail2024 https://t.co/kFkoc3UTg5",,0,0,0,3,,,455
2024-07-05,"At #totc we believe in celebrating not just spirits - but also the rich culture of New Orleans! ⚜️

Join us for our Spirited Dining events, where sponsors + local restaurants collaborate on innovative cocktail pairings, tantalizing signature drinks, &amp; a feast for the senses! 🍽️ https://t.co/BAfPYyFyay",,2,0,0,13,,,438
2024-08-30,"We're spending this #NationalMaiTaiDay looking back on all the dazzling drinks we enjoyed at #TalesoftheCocktail2024! 🍹✨ 

What was your favorite cocktail at this year's #totc? https://t.co/LpDk4fg2di",,7,0,0,20,,,429
2024-08-21,From the evolution of Bourbon Street to the queer history behind bartending in New Orleans - we took to the streets and learned all we could about the history of New Orleans' cocktail scene at #TalesoftheCocktail2024 Cocktail Tours! 🍹 ⁠ https://t.co/AdeAKteCt2,,4,0,0,12,,,427
2024-08-19,"🌟 Beyond the Bar at #totc2024 was an incredible journey of empowerment and discovery! ⁠🌟
⁠
Participants got to experience a breadth of health &amp; wellness workshops, networking, &amp; even more amazing activities! Cheers to everyone who came to sip, learn, &amp; give back! 🥂 https://t.co/jFPtr3pD7j",,3,0,0,9,,,416
2024-07-04,"Want to join #totc in our pledge to support local bar sustainability? All event attendees are invited to join Edrington, Tales of the Cocktail Foundation, New Orleans Water Collaborative, and Green Light in a Day of Service!

Secure your spot by 7/10 here: https://t.co/UJrEYWJ76a https://t.co/P5AuhMLnoo",,2,0,0,8,,,410
2024-07-18,"Join us at The Broadside on 7/26 from 12-5 pm for a dazzling final celebration of #totc2024 with great food, incredible drinks, &amp; amazing musical performances! 

Get your tickets to the 🐷 13th Annual Pig &amp; Punch 🐷 here: https://t.co/Hpw1EzQ8Lp https://t.co/2hGaB1DkUW",,1,0,0,19,,,408
2024-08-14,"Reliving the unforgettable moments shared in the #TalesoftheCocktail2024 Tasting Rooms! 🍹 ⁠
⁠
From electrifying mixology to inspiring discussions on the future of cocktails, it was an experience like no other! We want to thank everyone who joined us at #totc2024! 🥃 https://t.co/J45WatQt2Q",,1,0,0,12,,,405
2024-07-17,"💃 Join us under the stars for the unforgettable Night Events at #totc2024! 🕺
⁠⁠
From a honky-tonk throwback to the Wild West to shows from incredible musical guests, we have a lineup that anyone can enjoy! 

Download our Whova app to secure your spot: https://t.co/DVIXdtVNZz https://t.co/3qBvyOODVo",,2,0,0,9,,,403
2024-09-16,"✨🎤 Are you ready for it?! 🎤✨

We're gearing up to announce our second raffle winner this Friday (9/20) for 2 tickets to Taylor Swift’s Eras Tour in NOLA on 10/26! Join us and @CHNOLA by purchasing tickets for Round 2 here: https://t.co/dWIUhtMT0S https://t.co/i48hQJ7mJB",,0,0,0,6,,,388
2024-08-26,"Whether you came to learn, connect, or party with drinks industry pros, #totc2024 By Invitation Only Events had you covered!
⁠
Attendees were able to explore iconic New Orleans venues at our By Invitation Only Events. Cheers to the incredible memories we created this year! 🥂 https://t.co/5NANpceQLc",,2,0,0,14,,,370
